,E,29300617072380,5087310
,E,9300617028383,5087310
,D,4894514071641,5107291
,D,4894514071689,5107291
,D,8000500170823,5000853
,E,29300617072380,5087310
,E,9300617028383,5087310
,D,4894514071641,5107291
,D,4894514071689,5107291
,D,8000500170823,5000853
,E,29300617072380,5087310
,E,9300617028383,5087310
,D,4894514071641,5107291
,D,4894514071689,5107291
,D,8000500170823,5000853
,E,29300617072380,5087310
,E,9300617028383,5087310
,D,4894514071641,5107291
,D,4894514071689,5107291
,D,8000500170823,5000853
,E,29300617072380,5087310
,E,9300617028383,5087310
,D,4894514071641,5107291
,D,4894514071689,5107291
,D,8000500170823,5000853
,E,29300617072380,5087310
,E,9300617028383,5087310
,D,4894514071641,5107291
,D,4894514071689,5107291
,E,29300617072380,5087310
,E,9300617028383,5087310
,D,4894514071641,5107291
,D,4894514071689,5107291
