D,5003154,10026,0.00,10.79,,20221209,20991231
D,5003155,20053,0.00,10.79,,20230124,20991231
D,5003155,10026,0.00,10.79,,20221209,20991231
D,5003155,99032,0.00,10.79,,20230329,20991231
D,5003155,30026,0.00,10.79,,20221209,20991231
D,5003155,99065,11.55,0.00,,20230928,20991231
A,5003156,99032,0.00,42.20,,20231128,20991231
A,5003156,30026,0.00,42.20,,20231128,20991231
A,5003156,89306,46.00,0.00,,20231128,20991231
A,5003156,99065,46.00,0.00,,20231128,20991231
A,5003156,20053,0.00,42.20,,20231128,20991231
A,5003156,40027,0.00,42.20,,20231128,20991231
A,5003156,10026,0.00,42.20,,20231128,20991231
D,5003157,30026,0.00,2.24,,20231030,20991231
D,5003157,99065,2.40,0.00,,20231030,20991231
D,5003157,20053,0.00,2.24,,20231030,20991231
D,5003157,40027,0.00,2.24,,20231030,20991231
D,5003157,10026,0.00,2.24,,20231030,20991231
D,5003157,99032,0.00,2.24,,20231030,20991231
D,5003158,20053,0.00,1.82,,20231030,20991231
D,5003158,40027,0.00,1.82,,20231030,20991231
D,5003158,10026,0.00,1.82,,20231030,20991231
D,5003158,99032,0.00,1.82,,20231030,20991231
D,5003158,30026,0.00,1.82,,20231030,20991231
D,5003158,99065,1.95,0.00,,20231030,20991231
A,5003159,89306,2.50,0.00,,20231127,20991231
A,5003159,99032,0.00,2.34,,20231127,20991231
A,5003159,30026,0.00,2.34,,20231127,20991231
A,5003159,99065,2.50,0.00,,20231127,20991231
A,5003159,20053,0.00,2.34,,20231127,20991231
A,5003159,40027,0.00,2.34,,20231127,20991231
A,5003159,10026,0.00,2.34,,20231127,20991231
D,5003160,30026,0.00,2.24,,20231030,20991231
D,5003160,99065,2.40,0.00,,20231030,20991231
D,5003160,20053,0.00,2.24,,20231030,20991231
D,5003160,40027,0.00,2.24,,20231030,20991231
D,5003160,10026,0.00,2.24,,20231030,20991231
D,5003160,99032,0.00,2.24,,20231030,20991231
A,5003161,20053,0.00,4.49,,20231030,20991231
A,5003161,40027,0.00,4.49,,20231030,20991231
A,5003161,10026,0.00,4.49,,20231030,20991231
A,5003161,99032,0.00,4.49,,20231030,20991231
A,5003161,30026,0.00,4.49,,20231030,20991231
A,5003161,99065,4.80,0.00,,20231030,20991231
D,5003162,99032,0.00,2.80,,20231030,20991231
D,5003162,30026,0.00,2.80,,20231030,20991231
D,5003162,99065,3.00,0.00,,20231030,20991231
D,5003162,20053,0.00,2.80,,20231030,20991231
D,5003162,40027,0.00,2.80,,20231030,20991231
D,5003162,10026,0.00,2.80,,20231030,20991231
D,5003163,30026,0.00,2.80,,20231030,20991231
D,5003163,99065,3.00,0.00,,20231030,20991231
D,5003163,20053,0.00,2.80,,20231030,20991231
